transaction_id,transaction_timestamp,transaction_amount,fraud_user_id,device_type,merchant_category,ip_country,entry_mode,is_fraud,inter_txn_minutes,fraud_probability,risk_score,risk_flag,risk_bucket
8001,2024-02-13 06:03:00,87,6268,mobile,Digital Goods,UK,Manual_Keyed,0,34841.0,0.740987109595353,0.740987109595353,0,Low
8002,2024-02-13 06:03:00,53,6268,mobile,Digital Goods,CA,Manual_Keyed,0,0.0,0.4466799832082102,0.4466799832082102,0,Low
8003,2024-02-13 06:04:00,65,6268,mobile,Digital Goods,AU,Manual_Keyed,0,1.0,0.8097150224389631,0.8097150224389631,0,Medium
8004,2024-02-13 06:05:00,76,6268,mobile,Digital Goods,AU,Manual_Keyed,1,1.0,0.49120748058870156,0.49120748058870156,0,Low
8005,2024-02-13 06:11:00,274,3076,mobile,Fashion,US,Chip,0,34200.0,0.08360866510555504,0.08360866510555504,0,Low
8006,2024-02-13 06:19:00,32,6784,web,Electronics,US,Contactless,0,9999.0,0.02054802304531985,0.02054802304531985,0,Low
8007,2024-02-13 06:33:00,140,6954,mobile,Grocery,CA,Contactless,0,2922.0,0.06038262860682019,0.06038262860682019,0,Low
8008,2024-02-13 06:36:00,101,7313,mobile,Fashion,DE,Contactless,0,9999.0,0.524980055139914,0.524980055139914,0,Low
8009,2024-02-13 06:43:00,229,2147,mobile,Electronics,US,Contactless,0,9999.0,0.22486111592305144,0.22486111592305144,0,Low
8010,2024-02-13 06:44:00,79,5168,mobile,Digital Goods,UK,Manual_Keyed,0,46401.0,0.9039371483302332,0.9039371483302332,1,High
8011,2024-02-13 06:44:00,63,5168,mobile,Digital Goods,DE,Manual_Keyed,0,0.0,0.8212664224529301,0.8212664224529301,0,Medium
8012,2024-02-13 06:45:00,87,5168,mobile,Digital Goods,CA,Manual_Keyed,0,1.0,0.7086774054131373,0.7086774054131373,0,Low
8013,2024-02-13 06:46:00,88,5168,mobile,Digital Goods,AU,Manual_Keyed,0,1.0,0.43257110095953877,0.43257110095953877,0,Low
8014,2024-02-13 06:46:00,67,1361,mobile,Digital Goods,AU,Manual_Keyed,0,2489.0,0.8733028805396039,0.8733028805396039,1,Medium
8015,2024-02-13 06:47:00,84,1361,mobile,Digital Goods,DE,Manual_Keyed,0,1.0,0.6888767555586125,0.6888767555586125,0,Low
8016,2024-02-13 06:47:00,73,1361,mobile,Digital Goods,DE,Manual_Keyed,0,0.0,0.6617100853605616,0.6617100853605616,0,Low
8017,2024-02-13 07:01:00,288,3739,mobile,Electronics,US,Manual_Keyed,0,37430.0,0.5096504590847086,0.5096504590847086,0,Low
8018,2024-02-13 07:11:00,33,3002,web,Digital Goods,AU,Contactless,0,9999.0,0.49480228219004985,0.49480228219004985,0,Low
8019,2024-02-13 07:20:00,343,5550,mobile,Fashion,UK,Manual_Keyed,0,55718.0,0.8654888487813404,0.8654888487813404,1,Medium
8020,2024-02-13 07:25:00,150,6997,web,Fashion,US,Contactless,0,12581.0,0.05872435961817361,0.05872435961817361,0,Low
8021,2024-02-13 07:25:00,81,7077,mobile,Digital Goods,UK,Manual_Keyed,0,9999.0,0.8114159161146027,0.8114159161146027,0,Medium
8022,2024-02-13 07:26:00,63,7077,mobile,Digital Goods,AU,Manual_Keyed,1,1.0,0.7945327268754436,0.7945327268754436,0,Medium
8023,2024-02-13 07:26:00,63,7077,mobile,Digital Goods,AU,Manual_Keyed,1,0.0,0.7945327268754436,0.7945327268754436,0,Medium
8024,2024-02-13 07:27:00,72,7077,mobile,Digital Goods,CA,Manual_Keyed,0,1.0,0.7155044939722724,0.7155044939722724,0,Low
8025,2024-02-13 07:28:00,80,7077,mobile,Digital Goods,UK,Manual_Keyed,0,1.0,0.6771611414140426,0.6771611414140426,0,Low
8026,2024-02-13 07:28:00,51,7162,mobile,Digital Goods,DE,Manual_Keyed,0,42231.0,0.6531075105773496,0.6531075105773496,0,Low
8027,2024-02-13 07:29:00,62,7162,mobile,Digital Goods,UK,Manual_Keyed,0,1.0,0.7738916673486181,0.7738916673486181,0,Medium
8028,2024-02-13 07:29:00,77,7162,mobile,Digital Goods,AU,Manual_Keyed,0,0.0,0.46733015556614144,0.46733015556614144,0,Low
8029,2024-02-13 07:43:00,18,5383,web,Digital Goods,US,Manual_Keyed,0,9999.0,0.03843588976216341,0.03843588976216341,0,Low
8030,2024-02-13 07:52:00,423,7726,mobile,Grocery,UK,Manual_Keyed,0,9999.0,0.5321057596600531,0.5321057596600531,0,Low
8031,2024-02-13 08:00:00,263,3389,mobile,Electronics,US,Chip,0,5107.0,0.07233373668785463,0.07233373668785463,0,Low
8032,2024-02-13 08:02:00,215,6241,web,Electronics,US,Contactless,0,15615.0,0.13661212035562503,0.13661212035562503,0,Low
8033,2024-02-13 08:06:00,216,3077,mobile,Travel,AU,Manual_Keyed,0,46323.0,0.916556906998797,0.916556906998797,1,High
8034,2024-02-13 08:14:00,210,2285,web,Digital Goods,DE,Manual_Keyed,0,23988.0,0.7255622365203941,0.7255622365203941,0,Low
8035,2024-02-13 08:15:00,63,2672,mobile,Digital Goods,DE,Manual_Keyed,0,6612.0,0.9434396852857456,0.9434396852857456,1,Critical
8036,2024-02-13 08:16:00,61,2672,mobile,Digital Goods,AU,Manual_Keyed,0,1.0,0.8048831023146267,0.8048831023146267,0,Medium
8037,2024-02-13 08:16:00,86,2672,mobile,Digital Goods,CA,Manual_Keyed,0,0.0,0.8244559620905899,0.8244559620905899,0,Medium
8038,2024-02-13 08:17:00,52,2672,mobile,Digital Goods,DE,Manual_Keyed,0,1.0,0.5026085052370028,0.5026085052370028,0,Low
8039,2024-02-13 08:18:00,67,6227,mobile,Digital Goods,CA,Manual_Keyed,0,54897.0,0.8929298502810548,0.8929298502810548,1,High
