transaction_id,transaction_time,amount,user_id,device_type,merchant_category,ip_country,entry_mode,is_fraud,inter_txn_minutes,anomaly_score,risk_flag
1151,2024-01-07 17:41:00,350,1000,tablet,Digital Goods,US,Chip,0,9999.0,3.679309955585212e-07,0
5730,2024-02-04 03:34:00,375,1001,web,Grocery,US,Contactless,0,9999.0,2.634999206724786e-07,0
6664,2024-02-09 15:41:00,331,1003,tablet,Travel,AU,Contactless,0,9999.0,3.039189286245235e-07,0
1497,2024-01-09 19:20:00,495,1004,tablet,Fashion,DE,Chip,0,9999.0,3.2439989346426686e-07,0
2958,2024-01-18 13:21:00,155,1004,web,Grocery,DE,Contactless,0,12601.0,3.770476722821069e-07,0
6223,2024-02-07 02:01:00,167,1004,mobile,Fashion,US,Contactless,0,28120.0,2.1830679841193063e-07,0
6562,2024-02-09 02:23:00,379,1006,mobile,Fashion,DE,Contactless,0,9999.0,3.999778439397215e-07,0
2167,2024-01-13 20:15:00,483,1008,tablet,Digital Goods,CA,Contactless,0,9999.0,4.0662162300101187e-07,0
7996,2024-02-13 05:40:00,196,1009,web,Digital Goods,US,Chip,0,9999.0,2.843671410042645e-07,0
4527,2024-01-27 21:57:00,310,1010,web,Fashion,DE,Contactless,0,9999.0,3.1354038151868067e-07,0
1158,2024-01-07 18:41:00,318,1011,mobile,Grocery,AU,Chip,0,9999.0,2.5272893234216526e-07,0
2078,2024-01-13 08:07:00,340,1011,mobile,Digital Goods,US,Chip,0,8006.0,3.734361652654732e-07,0
4992,2024-01-30 17:22:00,19,1012,web,Electronics,CA,Chip,0,9999.0,1.639650314138393e-07,0
2776,2024-01-17 11:27:00,497,1013,tablet,Travel,US,Chip,0,9999.0,9.057627604264973e-06,0
4962,2024-01-30 13:10:00,237,1013,mobile,Fashion,US,Chip,0,18823.0,2.3218780121756754e-07,0
6644,2024-02-09 13:06:00,81,1014,mobile,Electronics,UK,Contactless,0,9999.0,1.1256455603119647e-06,0
5872,2024-02-04 23:55:00,471,1015,mobile,Fashion,AU,Chip,0,9999.0,2.5272893234216526e-07,0
271,2024-01-02 15:03:00,2043,1016,mobile,Travel,DE,Manual_Keyed,1,9999.0,0.9999916268034488,1
1584,2024-01-10 08:54:00,28,1017,mobile,Grocery,CA,Contactless,0,9999.0,1.9785690454150487e-07,0
2481,2024-01-15 16:43:00,395,1019,mobile,Fashion,DE,Manual_Keyed,0,9999.0,2.460673910018687e-05,0
4720,2024-01-29 01:37:00,451,1020,mobile,Electronics,US,Chip,0,9999.0,2.5675418713646814e-07,0
3939,2024-01-24 09:04:00,470,1022,mobile,Fashion,DE,Chip,0,9999.0,3.999778439397215e-07,0
4243,2024-01-26 05:45:00,412,1023,mobile,Travel,US,Contactless,0,9999.0,3.0734656980694955e-07,0
2869,2024-01-18 00:55:00,321,1024,mobile,Travel,US,Chip,0,9999.0,3.0734656980694955e-07,0
4782,2024-01-29 10:57:00,236,1024,mobile,Travel,DE,Chip,0,16442.0,3.914137634109946e-07,0
3548,2024-01-22 02:06:00,100,1025,mobile,Digital Goods,AU,Chip,0,9999.0,4.375258391661831e-07,0
4193,2024-01-25 22:58:00,63,1025,mobile,Travel,US,Contactless,0,5572.0,5.118063799470223e-07,0
5408,2024-02-02 04:32:00,14,1025,web,Grocery,DE,Chip,0,10414.0,1.6575952912657688e-07,0
6130,2024-02-06 12:14:00,29,1025,mobile,Digital Goods,US,Manual_Keyed,0,6222.0,3.52465861510666e-05,0
9770,2024-02-17 11:21:00,412,1025,mobile,Fashion,DE,Chip,0,15787.0,4.3189966717497817e-07,0
7659,2024-02-12 05:44:00,371,1026,tablet,Electronics,US,Chip,0,9999.0,2.5675418713646814e-07,0
8182,2024-02-13 15:10:00,273,1026,web,Fashion,US,Contactless,0,2006.0,7.837737518838538e-08,0
3842,2024-01-23 18:18:00,278,1028,mobile,Fashion,DE,Contactless,0,9999.0,3.2440059086877447e-07,0
4374,2024-01-26 23:48:00,2423,1028,mobile,Travel,UK,Manual_Keyed,1,4650.0,0.9999961241454715,1
4492,2024-01-27 16:45:00,158,1028,tablet,Electronics,DE,Chip,0,1017.0,2.6687231840742385e-07,0
7933,2024-02-13 00:11:00,337,1030,mobile,Travel,US,Contactless,0,9999.0,2.6345309226899764e-07,0
219,2024-01-02 08:04:00,110,1031,web,Electronics,AU,Manual_Keyed,0,9999.0,1.7921915622748152e-06,0
1237,2024-01-08 06:08:00,341,1034,mobile,Electronics,UK,Contactless,0,9999.0,2.89447228570488e-07,0
4724,2024-01-29 02:18:00,164,1034,mobile,Fashion,DE,Contactless,0,30010.0,3.665510508109475e-07,0
5633,2024-02-03 14:09:00,57,1034,mobile,Travel,US,Chip,0,7911.0,2.2124007138502226e-06,0
672,2024-01-04 23:41:00,347,1036,mobile,Electronics,AU,Manual_Keyed,0,9999.0,2.00985260661191e-06,0
4846,2024-01-29 20:28:00,163,1037,tablet,Electronics,UK,Chip,0,9999.0,5.425668223185951e-07,0
2859,2024-01-17 23:32:00,432,1039,tablet,Travel,US,Chip,0,9999.0,2.6209373648077816e-07,0
3921,2024-01-24 06:16:00,177,1039,web,Fashion,CA,Chip,0,9044.0,1.6624328098836002e-07,0
4386,2024-01-27 01:27:00,76,1039,web,Digital Goods,US,Contactless,0,4031.0,1.694516257174068e-06,0
9590,2024-02-17 00:01:00,68,1039,mobile,Digital Goods,UK,Manual_Keyed,1,30154.0,0.9999835905920507,1
9591,2024-02-17 00:02:00,63,1039,mobile,Digital Goods,AU,Manual_Keyed,1,1.0,0.9999987218149631,1
9592,2024-02-17 00:02:00,79,1039,mobile,Digital Goods,DE,Manual_Keyed,1,0.0,0.9999992179648606,1
9593,2024-02-17 00:03:00,51,1039,mobile,Digital Goods,CA,Manual_Keyed,1,1.0,0.9999995459324792,1
295,2024-01-02 18:11:00,263,1040,mobile,Electronics,US,Contactless,0,9999.0,2.3248605776224567e-07,0
4311,2024-01-26 15:05:00,270,1041,mobile,Fashion,UK,Contactless,0,9999.0,3.8646699531859847e-07,0
8792,2024-02-15 04:13:00,59,1044,mobile,Digital Goods,DE,Manual_Keyed,1,9999.0,0.9999771783289922,1
8793,2024-02-15 04:14:00,72,1044,mobile,Digital Goods,CA,Manual_Keyed,1,1.0,0.999998617114434,1
8794,2024-02-15 04:14:00,82,1044,mobile,Digital Goods,UK,Manual_Keyed,1,0.0,0.9999967767806458,1
8795,2024-02-15 04:15:00,81,1044,mobile,Digital Goods,UK,Manual_Keyed,1,1.0,0.9999990093858576,1
574,2024-01-04 10:05:00,476,1047,tablet,Travel,UK,Contactless,0,9999.0,4.014478346290418e-07,0
645,2024-01-04 20:13:00,118,1048,mobile,Fashion,US,Manual_Keyed,0,9999.0,9.735258121651624e-06,0
5892,2024-02-05 03:06:00,107,1049,web,Fashion,US,Contactless,0,9999.0,2.5675418713646814e-07,0
4115,2024-01-25 11:27:00,245,1051,web,Electronics,US,Chip,0,9999.0,2.845295833331624e-07,0
6523,2024-02-08 21:22:00,202,1051,web,Fashion,US,Chip,0,20755.0,2.6070621745511996e-07,0
7292,2024-02-11 09:08:00,2793,1053,web,Travel,UK,Manual_Keyed,1,9999.0,0.9999932077970665,1
7560,2024-02-12 01:42:00,121,1053,mobile,Digital Goods,UK,Chip,0,994.0,1.1650486151907922e-06,0
2011,2024-01-12 21:30:00,57,1054,web,Electronics,UK,Contactless,0,9999.0,2.5050442130778075e-06,0
5752,2024-02-04 06:24:00,413,1054,mobile,Fashion,CA,Contactless,0,32214.0,5.070638482535371e-07,0
99,2024-01-01 14:21:00,222,1055,web,Fashion,CA,Chip,0,9999.0,2.1399729419560785e-07,0
1050,2024-01-07 03:02:00,467,1055,mobile,Travel,DE,Manual_Keyed,0,7961.0,7.506489521222194e-06,0
160,2024-01-01 22:48:00,52,1056,mobile,Electronics,US,Chip,0,9999.0,5.404989360694812e-07,0
3545,2024-01-22 01:40:00,134,1057,mobile,Travel,AU,Manual_Keyed,0,9999.0,6.867737987177961e-07,0
4887,2024-01-30 02:41:00,471,1057,mobile,Electronics,DE,Chip,0,11581.0,4.138320170802538e-07,0
1362,2024-01-09 00:24:00,408,1058,web,Digital Goods,US,Manual_Keyed,0,9999.0,5.197263641551252e-06,0
1607,2024-01-10 12:08:00,21,1059,mobile,Fashion,CA,Manual_Keyed,0,9999.0,5.483060705824854e-07,0
9611,2024-02-17 02:00:00,1004,1059,mobile,Travel,CA,Manual_Keyed,1,54112.0,0.9999658188503222,1
714,2024-01-05 05:55:00,234,1060,mobile,Travel,US,Chip,0,9999.0,3.0734656980694955e-07,0
6931,2024-02-10 11:58:00,131,1060,web,Electronics,US,Contactless,0,52203.0,1.767534469103074e-07,0
7231,2024-02-11 04:48:00,136,1060,web,Digital Goods,US,Contactless,0,1010.0,2.0267041320900405e-07,0
